"Qty";"Value";"Device";"Package";"Parts";"Description";"ALLIED_NUMBER";"ALLIED_PRICE/STOCK";"ARROW_PART_NUMBER";"ARROW_PRICE/STOCK";"AVAILABILITY";"DESCRIPTION";"HEIGHT";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"RS_PART_NUMBER";"RS_PRICE/STOCK";"SPICEPREFIX";
"1";"B130-13-F";"B130-13-F";"SMA";"D2";"";"";"";"";"";"Unavailable";" Diode Schottky 30V 1A Surface Mount SMA ";"";"";"";"Multicomp";"B130-13-F";"";"";"";"DO-214 Multicomp";"";"None";"";"";"";
"1";"FT232RLSSOP";"FT232RLSSOP";"SSOP28DB";"U1";"USB UART";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"Green";"LEDCHIPLED_0805";"CHIPLED_0805";"LED2";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";
"1";"INA219BIDCNT";"INA219";"SOT23-8";"INA2";"INA219 - I2C Current/Power Monitor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"JST-XH-05-PIN-LONG-PAD";"JST-XH-05-PIN-LONG-PAD";"JST-XH-05-PACKAGE-LONG-PAD";"X15";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"JST-XH-08-PIN-ROUND-PAD";"JST-XH-08-PIN-ROUND-PAD";"JST-XH-08-PACKAGE-ROUND-PAD";"X2";"JST XH Connector 2 Pin";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"LM2621SMD";"LM2621SMD";"MSOP-8";"U$9";"Step-up switching regulator IC";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MBRS140T3G";"MBRS140T3G";"DIOM5436X247N";"D1";"Source:  Datasheet";"70099505";"http://www.alliedelec.com/on-semiconductor-mbrs140t3g/70099505/";"MBRS140T3G";"https://www.arrow.com/en/products/mbrs140t3g/on-semiconductor";"";"";"2.47mm";"ON Semiconductor";"MBRS140T3G";"";"";"";"";"";"";"";"";"5452074P";"http://uk.rs-online.com/web/p/products/5452074P";"";
"1";"MP2307DN-LF-Z";"MP2307DN-LF-Z";"SOIC127P600X170-9N";"U2";"MP2307 Series 23 V 3 A 380 KHz Synchronous Rectified Step-Down Converter-SOIC-8";"";"";"";"";"Unavailable";" Buck Switching Regulator IC Positive Adjustable 0.925V 1 Output 3A 8-SOIC _0.154, 3.90mm Width_ Exposed Pad ";"";"";"";"Monolithic Power";"MP2307DN-LF-Z";"";"";"";"SOIC-8 Monolithic Power";"";"None";"";"";"";
"2";"PCIE-098-02-X-D-TH";"PCIE-098-02-X-D-TH";"PCIE-098-02-X-D-TH";"SLOT-1, SLOT-2";"PCI EXPRESS CARD CONNECTOR ,98 PINS.";"";"";"";"";"Unavailable";" 98 Position Female Connector PCI Express™ Gold 0.039 _1.00mm_ Black ";"";"";"";"Samtec";"PCIE-098-02-F-D-TH";"";"";"";"None";"";"None";"";"";"";
"1";"Red";"LEDCHIPLED_0805";"CHIPLED_0805";"LED1";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"52";"";"";"";"";
"1";"S1M";"S1M";"SMA";"D4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"0";"";"";"";"";
"1";"USB-SMD-NS";"USB-SMD-NS";"USB-MINIB-NOSTOP";"X3";"USB Connectors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
